PU_Borough,DO_Borough,pickup_ampm,pickup_hour,pickup_min_block,avg_duration,var_duration,TLI,avg_passenger_count,avg_trip_distance,avg_total_amount
Bronx,Manhattan,PM,12,45,31,869,0.46,1.17351598173516,5.47,32.85
Brooklyn,Bronx,AM,9,15,59,1024,0.29,1.1071428571428572,12.97,62.17
Queens,Queens,AM,9,30,15,1081,1.21,1.3699051525249937,5.55,27.02
Brooklyn,Staten Island,AM,12,45,15,886,0.99,1.1666666666666667,0.16,31.37
Staten Island,Brooklyn,AM,5,30,28,1711,1.01,1.0,8.49,42.16
EWR,Manhattan,PM,7,45,54,0,0.0,2.0,15.46,87.55
Manhattan,Manhattan,PM,3,30,14,435,0.54,1.4076076856209343,3.31,16.12
Queens,EWR,AM,10,30,63,941,0.25,1.5616438356164384,32.58,149.55
Manhattan,EWR,PM,10,45,31,310,0.16,1.380952380952381,15.9,93.07
Manhattan,Queens,AM,7,30,31,856,0.47,1.4524229781771505,23.81,53.9
EWR,EWR,PM,3,30,0,42,1.79,1.882608695652174,0.1,108.75
Bronx,Manhattan,AM,10,30,33,1017,0.51,1.10546875,5.58,32.41
Manhattan,EWR,PM,11,0,-114,13837,-2.02,1.375,16.66,87.29
EWR,Staten Island,AM,1,0,22,0,0.0,2.0,15.57,99.51
EWR,Manhattan,PM,8,0,35,0,0.0,1.0,16.56,95.46
Manhattan,Manhattan,AM,12,45,11,297,0.47,1.4557359999521826,3.43,16.37
Queens,EWR,PM,8,15,53,648,0.2,1.625,32.88,144.76
Queens,Bronx,AM,11,0,33,801,0.41,1.4705075445816187,13.74,52.3
Manhattan,Brooklyn,AM,8,15,29,826,0.48,1.3002004008016033,7.26,34.92
Brooklyn,Staten Island,AM,8,15,41,568,0.23,1.0,16.56,56.34
Staten Island,Manhattan,PM,4,30,78,1059,0.23,1.0,18.13,80.01
Brooklyn,Queens,PM,1,30,38,965,0.43,1.3914893617021276,11.21,48.7
Bronx,Manhattan,PM,8,15,25,1127,0.75,1.2153846153846153,4.48,30.06
Staten Island,Queens,AM,8,30,87,708,0.14,1.0,15.08,85.94
EWR,EWR,AM,12,45,0,5,0.61,1.5454545454545454,0.0,150.43
Bronx,EWR,PM,4,0,88,227,0.04,1.0,25.98,138.14
Queens,Bronx,AM,10,45,33,2200,1.12,1.436602870813397,14.3,54.05
Brooklyn,Queens,AM,11,0,35,996,0.47,1.2081632653061225,10.89,44.41
Brooklyn,Queens,AM,10,45,37,2136,0.96,1.1696428571428572,10.67,45.81
Brooklyn,EWR,AM,8,30,40,647,0.27,2.1666666666666665,15.44,90.78
Bronx,Bronx,PM,4,15,19,904,0.79,1.2344827586206897,2.28,21.16
Staten Island,Brooklyn,PM,7,30,27,863,0.54,1.0,9.27,48.64
Brooklyn,Brooklyn,PM,2,15,18,945,0.87,1.3285827395091052,129.42,18.77
Queens,EWR,AM,5,45,47,700,0.25,1.5,32.1,127.2
Manhattan,EWR,PM,6,15,47,915,0.32,1.6141356255969437,17.28,101.53
Queens,EWR,AM,6,0,58,763,0.22,1.72,35.14,153.03
Bronx,Manhattan,AM,6,0,36,830,0.39,1.0,6.82,43.85
Staten Island,Bronx,PM,12,15,51,0,0.0,1.0,25.5,81.75
Queens,Staten Island,PM,12,15,52,631,0.2,1.5454545454545454,26.84,94.54
Bronx,Manhattan,AM,5,45,32,784,0.41,1.0641711229946524,8.32,42.08
EWR,EWR,AM,8,15,1,54,1.72,1.8588235294117648,0.24,102.39
Manhattan,Queens,PM,9,30,24,925,0.65,1.3734635645302895,6.82,33.09
Manhattan,Manhattan,AM,8,15,12,547,0.75,1.2981067914665354,7.53,15.88
Staten Island,Bronx,AM,10,0,56,0,0.0,1.0,22.7,75.25
Queens,Staten Island,AM,10,0,49,1704,0.58,1.3170731707317074,23.55,89.66
Queens,EWR,PM,12,30,66,1417,0.36,1.408450704225352,34.78,146.93
Manhattan,EWR,AM,4,0,28,344,0.2,1.6703056768558953,16.8,93.0
Queens,Bronx,AM,6,15,41,1420,0.57,1.3318284424379232,19.18,66.5
Bronx,Brooklyn,AM,9,0,56,1045,0.31,1.0333333333333334,12.4,62.42
Brooklyn,Bronx,AM,8,45,52,934,0.3,1.018867924528302,12.89,61.61
EWR,Staten Island,PM,2,45,24,0,0.0,1.0,9.19,48.1
Brooklyn,Staten Island,AM,12,30,17,706,0.68,1.5,7.81,41.92
Bronx,Manhattan,PM,12,30,32,989,0.52,1.172,5.81,30.88
Bronx,Bronx,AM,2,0,6,401,1.1,1.175824175824176,1.57,26.25
Brooklyn,Bronx,AM,9,0,60,1014,0.28,1.0,15.48,65.34
Bronx,Bronx,AM,1,45,6,521,1.35,1.2636363636363637,1.52,26.87
Bronx,Brooklyn,AM,8,45,52,932,0.3,0.9863013698630136,11.27,61.02
Manhattan,Staten Island,PM,10,15,35,4423,2.09,1.1932773109243695,12.36,84.82
Manhattan,EWR,AM,3,45,28,440,0.26,1.6421725239616614,309.13,93.73
Queens,Brooklyn,AM,9,45,35,831,0.4,1.395596051632498,12.61,45.59
Bronx,Staten Island,PM,3,15,81,758,0.16,1.0,22.69,85.92
Manhattan,Bronx,AM,4,15,23,483,0.35,1.3786259541984731,10.08,35.24
Staten Island,Staten Island,PM,11,15,8,680,1.35,1.0,1.8,101.63
Staten Island,Manhattan,AM,9,15,62,2282,0.61,1.0,13.3,69.03
Brooklyn,Queens,AM,6,15,33,1978,1.01,1.1214574898785423,25.69,46.26
Manhattan,EWR,PM,10,30,36,579,0.27,1.0909090909090908,17.65,102.55
EWR,Manhattan,PM,7,30,43,605,0.23,0.3333333333333333,15.53,81.89
Staten Island,EWR,AM,5,0,20,70,0.06,2.0,12.94,78.43
Queens,Bronx,PM,12,45,37,982,0.44,1.3381389252948883,14.79,56.21
Queens,EWR,PM,7,45,58,745,0.21,1.7,33.48,142.91
Queens,Bronx,AM,10,30,34,1161,0.56,1.437044745057232,14.71,54.29
Bronx,Manhattan,PM,8,0,21,593,0.48,1.2625,4.91,26.23
Brooklyn,Staten Island,AM,8,0,42,989,0.39,1.0,17.05,58.28
Manhattan,Brooklyn,AM,8,0,28,797,0.47,1.3115973741794311,7.26,34.72
Manhattan,Brooklyn,AM,7,45,27,754,0.47,1.3142712550607287,75.05,33.81
Bronx,Manhattan,PM,7,45,9,2764,4.9,1.263157894736842,4.66,26.11
Queens,Staten Island,AM,5,15,42,428,0.17,1.1176470588235294,15.13,77.98
Queens,EWR,PM,8,0,60,651,0.18,1.568181818181818,33.41,151.13
Brooklyn,Queens,PM,12,45,39,917,0.4,1.1341991341991342,10.8,47.15
EWR,EWR,AM,12,30,1,12,0.33,1.3333333333333333,0.0,179.97
Queens,Queens,PM,10,15,13,326,0.41,1.3882363821326182,6.6,26.22
Queens,EWR,AM,5,30,50,593,0.2,1.1764705882352942,32.63,149.35
Brooklyn,Brooklyn,PM,1,45,18,837,0.78,1.2923076923076924,2.55,18.91
Manhattan,EWR,PM,6,0,48,1008,0.35,1.58748943364328,17.18,100.88
Bronx,Bronx,PM,3,45,20,916,0.78,1.2279635258358663,2.77,23.59
Queens,Manhattan,AM,9,45,39,1449,0.62,1.4595476065228827,15.53,56.94
Manhattan,EWR,PM,5,45,51,1022,0.33,1.63915857605178,17.3,102.07
Staten Island,Bronx,PM,12,0,88,1739,0.33,1.0,16.3,86.13
Bronx,Manhattan,AM,5,30,31,657,0.35,1.0265486725663715,8.88,48.04
Queens,Staten Island,PM,12,0,36,7866,3.66,1.3333333333333333,26.08,87.97
Brooklyn,Queens,AM,10,30,34,959,0.47,1.2102564102564102,10.5,43.81
Manhattan,Staten Island,AM,3,15,39,907,0.39,1.4642857142857142,17.49,73.94
Bronx,Bronx,PM,4,0,18,1058,0.96,1.1885521885521886,29.66,21.05
Staten Island,Brooklyn,AM,8,45,28,905,0.54,1.0,13.06,45.84
Brooklyn,Brooklyn,AM,11,15,18,1428,1.31,1.2757830404889228,83.65,19.13
EWR,EWR,AM,8,0,0,17,1.03,1.824175824175824,0.64,106.64
EWR,EWR,AM,7,45,0,64,2.62,1.869047619047619,0.42,102.51
Manhattan,EWR,AM,3,30,29,514,0.3,1.8008474576271187,17.05,92.5
Bronx,Bronx,AM,1,30,6,409,1.11,1.2242990654205608,1.36,18.42
Queens,Bronx,AM,5,45,35,569,0.27,1.3812709030100334,19.25,64.02
Queens,Bronx,AM,6,0,37,609,0.27,1.3771428571428572,19.27,65.32
Staten Island,EWR,PM,6,45,14,0,0.0,4.0,10.46,142.55
Bronx,Brooklyn,AM,8,30,58,1072,0.31,1.0,13.23,61.53
Manhattan,Manhattan,AM,7,45,11,491,0.74,1.2962203851730394,7.77,15.2
Brooklyn,Bronx,AM,8,30,57,922,0.27,1.0,15.65,61.86
Manhattan,Bronx,PM,6,15,32,802,0.42,1.398656215005599,7.82,35.31
Staten Island,Staten Island,AM,4,15,0,0,0.0,2.0,0.0,139.88
Bronx,Queens,PM,1,15,39,1242,0.53,1.2222222222222223,10.27,52.44
Manhattan,Manhattan,AM,8,0,12,536,0.76,1.3040788955205536,9.59,15.6
Manhattan,Staten Island,PM,10,0,46,722,0.26,1.2083333333333333,16.87,86.83
Brooklyn,Queens,PM,8,15,29,1002,0.57,1.4,7.92,36.93
EWR,Queens,AM,10,15,150,3718,0.41,1.0,24.67,117.18
Manhattan,Brooklyn,PM,9,45,25,849,0.56,1.386134386507979,6.55,32.91
Queens,Staten Island,PM,7,15,49,704,0.24,1.3037974683544304,29.01,86.33
Queens,Brooklyn,AM,9,30,35,1349,0.64,1.3737373737373737,12.78,46.75
Brooklyn,Queens,AM,5,45,30,681,0.38,1.18,335.28,49.7
Queens,Queens,AM,3,15,12,727,1.02,1.389967637540453,5.38,26.18
Brooklyn,Manhattan,PM,1,45,30,959,0.53,1.411764705882353,164.28,31.91
Brooklyn,Staten Island,PM,9,45,28,857,0.51,1.0,3.72,43.71
Brooklyn,Queens,AM,6,0,31,648,0.35,1.1570680628272252,11.52,48.1
Staten Island,Manhattan,AM,9,0,60,1516,0.42,1.0,11.2,74.41
Staten Island,Staten Island,PM,10,45,-106,11662,-1.83,1.4166666666666667,0.89,50.98
Staten Island,Staten Island,PM,11,0,5,461,1.66,1.3333333333333333,1.4,28.19
Manhattan,Bronx,AM,4,0,23,648,0.47,1.3366336633663367,9.92,35.58
Bronx,Staten Island,PM,2,45,82,922,0.19,1.0,23.56,78.67
Staten Island,Bronx,PM,7,15,60,113,0.03,1.0,0.0,88.95
Queens,Bronx,PM,12,30,36,959,0.44,1.4185082872928176,14.33,55.54
Bronx,Staten Island,PM,3,0,79,875,0.19,1.0,19.86,82.59
Staten Island,Manhattan,AM,8,45,81,1834,0.38,1.0,9.07,82.94
Manhattan,Bronx,AM,3,45,23,457,0.34,1.360655737704918,10.1,36.09
Queens,Queens,PM,10,0,13,1524,1.88,1.3752183105064804,6.6,26.57
Queens,Staten Island,AM,4,45,53,1033,0.33,1.0,13.83,81.62
Queens,Staten Island,AM,5,0,43,460,0.18,1.064516129032258,15.53,79.94
Manhattan,Brooklyn,AM,7,30,26,704,0.46,1.2405189620758483,7.11,32.75
Brooklyn,Staten Island,AM,7,30,34,413,0.2,1.0,18.19,59.49
Brooklyn,Manhattan,AM,11,15,32,1033,0.54,1.2617743702081052,173.2,33.75
Queens,EWR,PM,7,30,57,734,0.22,1.4042553191489362,35.39,144.09
Manhattan,Staten Island,PM,5,15,52,1409,0.45,1.28125,16.55,80.89
Manhattan,Queens,AM,1,15,22,143,0.11,1.3725052829302653,6.28,28.92
Brooklyn,Queens,PM,12,30,37,928,0.42,1.2720306513409962,11.1,45.34
Bronx,Manhattan,PM,7,30,20,714,0.58,1.2987012987012987,3.74,23.5
Queens,Bronx,PM,8,0,30,1464,0.8,1.4223194748358865,15.85,56.63
Queens,Bronx,PM,7,45,30,1693,0.94,1.4038461538461535,16.95,58.63
Manhattan,Staten Island,AM,3,0,33,412,0.21,1.3103448275862069,16.98,65.87
Manhattan,Staten Island,AM,2,45,31,2150,1.15,1.3636363636363635,18.85,75.7
EWR,Staten Island,AM,7,15,25,0,0.0,2.0,14.86,92.46
Staten Island,Staten Island,PM,6,15,41,3570,1.46,1.0,2.23,80.77
Bronx,Bronx,PM,3,30,20,914,0.77,1.1717451523545706,2.36,20.78
EWR,EWR,PM,9,45,0,17,0.73,1.25,0.01,94.53
Brooklyn,Brooklyn,PM,1,30,19,982,0.87,1.2851592851592852,2.66,19.8
Queens,Manhattan,AM,9,30,40,1393,0.59,1.4579006832732555,12.78,57.46
Manhattan,Manhattan,PM,9,45,11,568,0.83,1.4629562008257382,3.08,16.44
EWR,Queens,PM,12,15,67,355,0.09,3.6666666666666665,29.93,183.92
Manhattan,EWR,PM,5,30,52,1035,0.33,1.6179604261796043,17.1,102.79
Staten Island,EWR,PM,6,30,26,0,0.0,1.0,12.99,51.05
Bronx,Bronx,AM,12,45,7,481,1.07,1.2615384615384615,1.95,21.88
Queens,Bronx,AM,5,30,31,1485,0.79,1.4007936507936507,19.74,65.69
Manhattan,Bronx,PM,6,0,33,675,0.34,1.3985260770975056,7.79,35.43
EWR,Brooklyn,PM,1,15,50,0,0.0,1.0,19.65,91.8
Manhattan,Manhattan,AM,7,30,11,489,0.75,1.2875104571625413,9.94,15.4
EWR,EWR,AM,7,30,0,85,3.14,1.7848101265822784,0.06,107.33
Queens,Queens,PM,5,15,18,1123,1.02,1.4349007658733426,5.8,32.21
Brooklyn,Brooklyn,AM,10,45,18,857,0.79,1.200624512099922,135.4,19.38
Staten Island,Brooklyn,PM,1,15,39,1158,0.5,1.0,13.34,53.67
Brooklyn,Brooklyn,AM,11,0,18,874,0.8,1.1937639198218264,2.55,18.86
Brooklyn,Queens,PM,7,45,30,798,0.45,1.3333333333333333,8.4,38.9
Manhattan,Bronx,PM,5,45,34,972,0.48,1.3834394904458598,7.65,35.58
Staten Island,Staten Island,AM,4,0,1,39,0.9,1.1666666666666667,0.08,40.41
Bronx,Queens,PM,1,0,45,1651,0.61,1.0425531914893618,9.19,48.9
Staten Island,Staten Island,AM,3,45,9,536,0.98,2.0,2.56,18.71
Brooklyn,Queens,PM,8,0,29,909,0.52,1.4761904761904765,575.3,35.42
Staten Island,Staten Island,PM,10,30,15,1143,1.29,1.5,1.12,48.68
Queens,Queens,AM,2,45,12,585,0.8,1.4129736673089277,5.65,25.05
Brooklyn,Staten Island,PM,9,30,43,1093,0.42,1.181818181818182,5.53,51.16
Staten Island,Bronx,PM,6,45,47,10,0.0,1.0,24.65,99.56
Staten Island,Bronx,PM,7,0,57,88,0.03,1.0,24.55,89.18
Bronx,Queens,AM,10,15,36,929,0.43,1.0294117647058822,10.45,49.84
Manhattan,Queens,PM,3,15,51,1251,0.41,1.5308745070749246,16.05,58.24
Manhattan,Bronx,AM,3,30,22,461,0.34,1.3324968632371392,9.78,35.35
Brooklyn,Manhattan,PM,1,30,30,954,0.53,1.441354292623942,186.12,32.2
Queens,Queens,AM,3,0,13,1311,1.73,1.376659678546471,5.53,25.62
Brooklyn,Queens,AM,5,30,28,663,0.4,1.217687074829932,448.04,48.68
Manhattan,Brooklyn,PM,9,30,25,812,0.53,1.3858472567497253,6.56,32.98
Staten Island,Manhattan,AM,8,30,91,1128,0.21,1.0,11.06,82.45
Queens,Staten Island,PM,7,0,54,785,0.24,1.7532467532467533,27.85,91.18
Bronx,Staten Island,PM,2,30,85,857,0.17,1.0,17.24,84.74
Queens,Staten Island,PM,6,45,53,846,0.27,1.6666666666666667,25.11,89.92
Brooklyn,Brooklyn,AM,6,15,17,2489,2.48,1.1289473684210527,2.93,21.9
Queens,Staten Island,AM,4,30,41,337,0.14,1.4,22.83,86.57
Brooklyn,Manhattan,AM,10,45,33,1113,0.57,1.241111111111111,67.22,35.17
EWR,Queens,AM,5,15,24,0,0.0,1.0,14.46,75.8
Bronx,Bronx,AM,8,15,18,709,0.64,1.103359173126615,2.54,20.83
Manhattan,Staten Island,PM,5,0,64,1687,0.44,1.35,15.8,82.31
Bronx,Staten Island,AM,11,45,71,810,0.19,1.0,20.47,86.8
Brooklyn,Manhattan,AM,11,0,31,1017,0.55,1.3278688524590163,5.83,33.91
Manhattan,Staten Island,PM,4,45,46,6335,2.3,1.4210526315789471,15.67,84.73
Staten Island,Queens,PM,4,15,72,1575,0.37,1.0,14.99,79.35
EWR,EWR,PM,9,30,0,20,1.05,1.2307692307692308,0.95,91.12
Manhattan,Manhattan,PM,9,30,11,518,0.76,1.4577235403745976,3.94,16.31
Manhattan,Staten Island,AM,2,30,38,673,0.3,1.2222222222222223,17.49,71.92
Brooklyn,EWR,PM,4,15,76,1367,0.3,2.2,16.03,99.4
Queens,Brooklyn,PM,10,15,28,939,0.57,1.3393952437318413,14.15,49.63
Queens,Bronx,PM,7,30,31,1304,0.7,1.3884381338742393,16.76,57.55
Brooklyn,Brooklyn,PM,12,45,19,867,0.75,1.2491444216290213,2.72,19.78
Staten Island,Staten Island,PM,5,45,38,3318,1.45,1.1666666666666667,1.06,40.35
Staten Island,Staten Island,PM,6,0,44,1840,0.69,1.4,2.18,40.98
Brooklyn,EWR,AM,1,45,39,602,0.26,1.0,21.48,86.52
Manhattan,Bronx,PM,5,30,36,990,0.46,1.3861318830727396,7.68,36.54
Staten Island,Brooklyn,PM,1,0,37,137,0.06,1.0,20.27,68.06
Brooklyn,Brooklyn,AM,10,30,19,893,0.78,1.1436925647451963,2.63,20.5
Bronx,Bronx,AM,12,30,7,467,1.1,1.396449704142012,1.64,24.82
Brooklyn,Manhattan,AM,6,15,28,894,0.52,1.1366906474820144,6.47,35.38
Bronx,Queens,PM,12,15,40,1092,0.45,1.0344827586206895,8.93,51.55
Queens,Queens,PM,4,45,18,865,0.82,1.4504926891290528,5.7,32.51
Bronx,Staten Island,AM,7,15,102,753,0.12,1.0,0.0,83.38
Brooklyn,Queens,PM,7,30,31,803,0.43,1.2513966480446927,7.84,38.39
Queens,Queens,PM,5,0,19,1143,1.02,1.438936493953712,5.92,32.66
Staten Island,Staten Island,AM,3,30,0,11,0.85,1.0,0.13,41.3
Queens,Manhattan,PM,10,15,30,594,0.33,1.461769839206803,15.06,61.06
Manhattan,Queens,PM,2,45,48,1276,0.44,1.5297753586420038,22.27,57.69
Bronx,Brooklyn,AM,2,15,37,327,0.15,1.0,10.63,50.0
Brooklyn,Manhattan,PM,12,45,31,1026,0.55,1.3832790445168297,5.78,34.04
Queens,Staten Island,PM,6,30,55,1031,0.31,1.4666666666666666,26.09,92.2
Brooklyn,Bronx,AM,2,15,35,1338,0.64,1.2,12.48,38.76
Manhattan,Queens,PM,3,0,50,1190,0.4,1.5203656462585031,13.11,57.98
Queens,Queens,AM,2,30,12,976,1.32,1.356969696969697,5.54,25.59
Bronx,Queens,AM,10,0,38,1064,0.46,1.032258064516129,8.49,55.73
Staten Island,Brooklyn,AM,10,15,45,626,0.23,1.1428571428571428,18.58,63.98
Staten Island,Bronx,PM,6,30,54,0,0.0,1.0,21.1,99.56
Brooklyn,Brooklyn,AM,6,0,10,1299,2.12,1.0719424460431657,2.34,22.25
Manhattan,Staten Island,PM,4,30,63,1553,0.41,1.1666666666666667,14.08,84.79
Bronx,Bronx,AM,7,45,19,785,0.69,1.1257861635220126,2.67,20.58
Brooklyn,Brooklyn,AM,5,45,14,815,1.0,1.10062893081761,2.59,20.46
Bronx,Staten Island,AM,11,30,64,110,0.03,1.0,17.69,117.38
Brooklyn,Manhattan,AM,10,30,31,1035,0.56,1.2877997914494266,5.74,33.62
Queens,Brooklyn,AM,3,15,25,525,0.35,1.3397027600849256,13.41,45.77
Manhattan,EWR,AM,9,45,33,765,0.39,1.6281464530892449,17.31,95.66
EWR,Manhattan,PM,1,0,36,636,0.29,1.0,16.86,91.24
Bronx,Bronx,AM,8,0,20,789,0.66,1.11731843575419,2.6,19.73
Staten Island,Queens,PM,3,45,73,1711,0.39,1.2,22.35,79.84
Brooklyn,Manhattan,PM,8,15,22,1665,1.26,1.503328894806924,46.09,31.12
Manhattan,Brooklyn,AM,1,15,22,276,0.21,1.40716144664812,9.45,29.57
Brooklyn,Staten Island,AM,1,15,31,663,0.35,1.0,7.99,50.26
Bronx,Queens,AM,5,15,32,525,0.27,1.0,11.05,52.01
Brooklyn,Brooklyn,PM,12,30,18,1528,1.38,1.281382228490832,50.63,19.47
EWR,Manhattan,AM,10,15,66,2606,0.66,1.0,17.78,116.16
Staten Island,Staten Island,PM,5,30,80,2452,0.51,1.0,0.24,89.28
Queens,Brooklyn,PM,10,0,29,1175,0.67,1.355391073795846,33.41,49.72
Brooklyn,EWR,PM,4,0,74,1473,0.33,1.7777777777777777,18.16,103.22
Staten Island,Queens,AM,1,30,39,0,0.0,1.0,0.0,69.55
Brooklyn,EWR,PM,3,45,71,1279,0.3,1.5,15.26,102.44
Bronx,Manhattan,PM,1,15,29,998,0.57,1.08187134502924,4.88,28.79
Staten Island,Brooklyn,PM,12,15,41,584,0.24,1.0,18.3,62.37
Brooklyn,Manhattan,AM,6,0,32,940,0.49,1.1059027777777777,6.69,38.78
Brooklyn,EWR,AM,1,30,25,0,0.0,3.0,15.94,88.86
Bronx,Queens,PM,12,0,38,957,0.42,1.0689655172413792,9.51,50.43
Bronx,Brooklyn,PM,4,15,75,1875,0.41,1.0,7.39,57.88
Queens,Manhattan,AM,3,15,27,708,0.44,1.3947712418300653,15.14,60.61
Brooklyn,Bronx,PM,4,15,74,1287,0.29,1.0357142857142858,11.27,61.16
Queens,Queens,PM,4,30,18,1049,0.97,1.4336574654956085,5.77,32.98
Brooklyn,Manhattan,AM,5,45,32,943,0.5,1.0646651270207852,7.0,38.89
Brooklyn,Manhattan,PM,12,30,29,966,0.55,1.4213421342134214,33.47,32.51
Bronx,Brooklyn,AM,1,45,38,346,0.15,1.0,4.2,64.78
Queens,Manhattan,PM,10,0,30,1414,0.79,1.4625718364508218,15.01,60.93
Brooklyn,Brooklyn,PM,7,45,13,1061,1.36,1.3464942137508509,2.36,17.87
EWR,EWR,AM,1,15,0,11,0.7,2.0,0.0,103.62
Bronx,Bronx,PM,9,45,11,737,1.14,1.2950819672131149,2.09,22.87
EWR,Queens,PM,6,45,142,0,0.0,1.0,0.0,73.0
Brooklyn,Brooklyn,PM,8,0,13,630,0.8,1.3649789029535866,62.48,17.88
Manhattan,Queens,PM,2,30,46,1184,0.42,1.5203158186351464,13.14,57.51
Manhattan,Staten Island,AM,9,15,49,1170,0.4,1.0769230769230769,20.4,81.41
Brooklyn,Bronx,AM,2,0,32,760,0.4,1.2,8.02,49.24
Brooklyn,Bronx,AM,1,45,30,360,0.2,1.25,11.03,56.9
Bronx,Brooklyn,AM,2,0,32,470,0.24,1.0,13.65,61.4
Staten Island,Brooklyn,AM,10,0,48,1382,0.48,1.0,11.4,63.2
Manhattan,Manhattan,AM,1,15,10,482,0.78,1.4639562401689177,3.83,16.31
Queens,Brooklyn,PM,5,15,44,906,0.35,1.4007824092809928,13.27,51.63
Manhattan,Brooklyn,PM,3,15,36,944,0.44,1.3986432561851556,17.11,35.83
Queens,Brooklyn,AM,2,45,25,541,0.36,1.3777777777777778,13.21,45.21
Brooklyn,Staten Island,PM,3,15,55,714,0.21,1.0,15.64,56.58
Manhattan,Queens,AM,11,45,34,1124,0.55,1.4984240514001697,12.03,52.98
Staten Island,Manhattan,AM,2,15,41,0,0.0,1.0,0.0,75.55
Brooklyn,Brooklyn,AM,5,30,14,697,0.81,1.1825396825396826,3.26,24.14
Queens,Brooklyn,AM,3,0,25,428,0.29,1.3846153846153846,13.27,45.33
Bronx,Queens,PM,7,15,40,1246,0.52,1.1388888888888888,7.63,52.81
Manhattan,EWR,AM,9,30,33,577,0.29,1.6123778501628665,17.48,97.15
Staten Island,Queens,PM,3,30,83,635,0.13,1.0,8.63,72.88
Bronx,Bronx,AM,7,30,20,788,0.64,1.0521472392638036,173.5,21.12
Brooklyn,Staten Island,AM,1,0,19,1159,1.01,1.6666666666666667,3.23,46.6
Manhattan,Bronx,AM,9,45,27,1145,0.71,1.3914209115281502,8.11,34.25
Bronx,Staten Island,PM,8,45,84,1241,0.25,1.0,25.1,89.62
Staten Island,Queens,AM,12,45,40,142,0.06,1.0,0.0,74.05
Manhattan,Brooklyn,AM,1,0,23,461,0.34,1.3913797374287835,18.23,29.93
Queens,Manhattan,PM,5,15,47,1071,0.38,1.539964420586124,22.87,64.0
Queens,EWR,PM,1,0,68,1433,0.35,1.4210526315789471,33.58,150.73
Bronx,Queens,AM,5,0,35,944,0.45,1.037037037037037,10.67,55.66
Brooklyn,Manhattan,PM,7,45,24,693,0.47,1.4278350515463918,5.24,29.81
Bronx,Manhattan,PM,1,0,32,1075,0.56,1.1722488038277512,424.61,32.27
Brooklyn,Manhattan,PM,8,0,22,1189,0.88,1.437414030261348,5.15,29.83
Bronx,Queens,AM,4,45,24,761,0.54,1.0,5.78,47.58
Brooklyn,EWR,PM,3,30,74,1333,0.3,1.3,18.35,109.7
Queens,Queens,AM,9,15,14,1234,1.42,1.3843452082288008,5.27,26.68
Staten Island,Brooklyn,AM,5,15,39,1425,0.61,1.0,15.59,67.92
EWR,Brooklyn,PM,12,0,71,0,0.0,1.0,20.1,69.3
Queens,Manhattan,AM,2,45,27,710,0.44,1.549403747870528,15.88,61.61
Bronx,Brooklyn,PM,3,45,74,1465,0.33,1.0851063829787233,5.86,60.32
Brooklyn,Bronx,PM,3,45,81,1490,0.31,1.0454545454545454,11.22,62.24
Bronx,Brooklyn,PM,4,0,81,1381,0.28,1.0104166666666667,4.82,64.47
Queens,EWR,AM,10,15,64,1278,0.33,1.492537313432836,33.29,151.9
Brooklyn,Manhattan,AM,5,30,30,852,0.47,1.1125,664.02,37.33
Staten Island,Brooklyn,PM,12,0,52,1529,0.49,1.0,15.52,66.33
Manhattan,Manhattan,PM,3,15,14,401,0.49,1.408310303789288,3.02,16.12
Queens,Manhattan,AM,3,0,27,750,0.47,1.3993775933609958,15.28,60.5
Bronx,Manhattan,AM,10,15,34,1105,0.54,1.0843373493975903,5.7,33.45
EWR,EWR,PM,3,15,-2,2352,-25.16,1.804878048780488,0.62,110.23
Manhattan,Queens,AM,7,15,30,980,0.54,1.4449725477341635,42.94,54.22
Brooklyn,Bronx,PM,4,0,80,1643,0.34,1.03125,10.54,61.56
Manhattan,Manhattan,AM,1,0,10,329,0.53,1.4588383871261734,2.9,16.35
Brooklyn,Bronx,AM,1,30,34,625,0.3,1.0909090909090908,9.62,56.81
EWR,Manhattan,AM,5,15,28,0,0.0,2.0,16.7,69.8
Staten Island,Manhattan,PM,4,15,77,1167,0.25,1.0,16.81,85.16
Bronx,Brooklyn,AM,1,30,35,460,0.22,1.0,6.24,55.91
Brooklyn,Queens,PM,1,15,38,922,0.41,1.3103448275862069,11.15,49.38
Staten Island,Queens,AM,8,15,77,1543,0.33,1.0,21.53,79.04
Bronx,Bronx,PM,9,30,-5,2744,-9.96,1.321917808219178,1.85,24.23
Manhattan,Staten Island,AM,8,45,42,928,0.37,1.0666666666666669,18.23,79.18
Queens,Brooklyn,PM,4,45,45,765,0.28,1.408083265747499,13.41,52.05
Queens,Brooklyn,PM,5,0,44,849,0.32,1.409140369967356,13.37,51.93
Manhattan,Staten Island,AM,9,0,48,1072,0.38,1.0384615384615383,17.73,75.34
EWR,EWR,AM,1,0,0,33,1.66,2.0,0.07,75.71
Brooklyn,Brooklyn,PM,7,30,13,632,0.78,1.3405654174884944,2.41,20.1
Bronx,Queens,PM,7,0,33,1132,0.58,1.0,6.24,49.57
Manhattan,Brooklyn,PM,3,0,35,1008,0.48,1.3770132714856334,6.8,35.73
Bronx,Queens,PM,6,45,38,1075,0.47,1.0857142857142856,6.99,57.24
Staten Island,Staten Island,AM,9,45,45,2627,0.97,1.0,1.44,57.39
