PU_Borough,DO_Borough,pickup_ampm,pickup_hour,pickup_min_block,avg_duration,var_duration,TLI,avg_passenger_count,avg_trip_distance,avg_total_amount
Queens,Manhattan,PM,6,30,40,1180,0.49,1.5121060171919771,14.56,62.56
Bronx,Bronx,AM,3,15,7,509,1.21,1.3037974683544304,1.84,25.43
Manhattan,EWR,AM,5,15,30,461,0.26,1.616393442622951,17.04,95.85
Staten Island,Brooklyn,AM,6,30,44,1040,0.39,1.0,14.88,56.38
Brooklyn,Brooklyn,AM,1,15,10,488,0.79,1.3894927536231885,2.44,18.89
Bronx,Bronx,PM,10,0,7,3319,8.39,1.3235294117647058,1.88,21.92
Bronx,Manhattan,AM,11,30,34,870,0.43,1.0891472868217054,6.11,34.67
Manhattan,EWR,PM,12,0,37,608,0.27,1.6768507638072856,17.46,97.77
Manhattan,Manhattan,PM,4,30,13,479,0.6,1.405105010555549,2.73,16.94
EWR,EWR,PM,4,30,1,455,8.16,1.7647058823529411,0.85,101.3
Queens,EWR,AM,11,30,55,5520,1.68,1.6338028169014085,33.0,141.68
Staten Island,Staten Island,PM,1,0,34,2717,1.33,1.0,2.5,37.21
Queens,Bronx,PM,2,30,43,1085,0.42,1.436,15.6,57.68
Manhattan,Queens,AM,8,30,31,1030,0.55,1.4610521386200437,12.08,53.46
EWR,Manhattan,PM,8,45,29,198,0.11,1.0,15.86,85.9
Staten Island,Staten Island,AM,10,15,38,2810,1.22,1.375,0.51,88.06
Bronx,EWR,PM,4,45,48,0,0.0,1.0,25.1,209.05
Manhattan,Brooklyn,AM,9,15,28,807,0.49,1.3289920724801811,7.04,33.7
Manhattan,Bronx,PM,12,15,30,746,0.42,1.3666666666666667,8.15,35.71
Queens,Bronx,AM,11,45,37,1011,0.46,1.455223880597015,14.79,56.27
Staten Island,Manhattan,PM,5,30,79,1069,0.23,1.0,18.15,89.33
Bronx,Manhattan,PM,9,15,22,683,0.52,1.2386363636363635,4.24,27.85
Brooklyn,Staten Island,AM,9,15,44,621,0.24,1.3333333333333333,18.76,61.43
Brooklyn,Queens,PM,2,30,44,1100,0.42,1.2832618025751072,55.76,49.65
Staten Island,Queens,AM,9,30,67,297,0.07,1.0,0.0,74.55
Bronx,EWR,PM,5,0,53,0,0.0,3.0,27.66,131.46
Queens,EWR,PM,9,15,52,458,0.15,1.3571428571428572,32.89,131.03
Brooklyn,Manhattan,AM,1,15,21,507,0.39,1.4565537555228276,5.69,30.32
Brooklyn,Queens,AM,11,45,37,1168,0.53,1.2981132075471695,10.58,44.6
Brooklyn,Queens,AM,12,0,26,1572,1.02,1.2205128205128206,6.79,29.37
Manhattan,Bronx,AM,10,0,26,1297,0.83,1.361646234676007,8.37,34.98
Manhattan,EWR,PM,7,15,39,1396,0.6,1.4695945945945943,18.05,98.31
Bronx,Manhattan,AM,7,0,36,1143,0.52,1.0732484076433122,6.22,36.2
Staten Island,Brooklyn,PM,8,30,34,75,0.04,1.0,20.11,64.95
Bronx,Manhattan,AM,6,45,36,1084,0.51,0.9935064935064936,6.43,36.82
Queens,EWR,AM,6,45,52,771,0.25,1.875,31.62,142.84
Brooklyn,Brooklyn,PM,3,15,17,875,0.84,1.301948051948052,3.36,19.17
Brooklyn,EWR,AM,9,30,36,347,0.16,1.0,18.21,117.66
Bronx,Bronx,PM,5,15,16,788,0.81,1.2531645569620251,2.12,20.78
Queens,Staten Island,PM,1,30,57,1285,0.37,1.3,27.52,94.64
EWR,Queens,PM,2,15,60,0,0.0,1.0,36.91,117.6
Queens,EWR,AM,7,0,59,1070,0.3,1.6111111111111112,33.95,157.01
Manhattan,EWR,AM,4,45,29,352,0.2,1.5895316804407713,17.2,95.64
Queens,Staten Island,AM,10,45,54,661,0.2,1.319148936170213,24.23,90.95
Manhattan,EWR,AM,5,0,29,759,0.44,1.604066985645933,17.31,95.0
Queens,Bronx,AM,7,15,48,1164,0.41,1.365,17.45,63.85
Manhattan,Manhattan,AM,9,15,12,526,0.71,1.315777325900735,2.47,15.79
Staten Island,Bronx,AM,10,45,59,0,0.0,1.0,27.9,102.73
