BOROUGH,tf_ampm,tf_hour,tf_min_block,avg_speed,CI
Staten Island,PM,06,15,33.74676290591591,0.3250647418816819
Staten island,PM,03,15,33.29716822429905,0.334056635514019
Staten Island,PM,07,00,35.92225152808058,0.2815549694383884
Staten island,PM,10,00,39.80494833255049,0.20390103334899023
Staten island,AM,08,15,38.920730442978304,0.22158539114043396
Staten island,AM,09,00,38.208178613396,0.23583642773208002
Staten island,PM,04,00,30.93685401119404,0.38126291977611926
Manhattan,AM,07,15,25.635269448505408,0.4872946110298918
Staten Island,PM,09,45,39.99831388370912,0.2000337223258175
Staten island,PM,12,45,36.47219335205994,0.2705561329588012
Manhattan,PM,02,15,22.318158255716128,0.5536368348856775
Manhattan,AM,08,00,24.140586713147133,0.5171882657370573
Manhattan,PM,03,00,20.959081256787865,0.5808183748642427
Staten island,PM,06,45,35.83449517533539,0.2833100964932922
Bronx,AM,11,15,31.066377666388682,0.3786724466722263
Brooklyn,AM,02,45,40.940386918704036,0.18119226162591928
Staten island,PM,07,30,38.018124706985475,0.23963750586029053
Bronx,AM,12,00,38.18020437580439,0.23639591248391223
Brooklyn,AM,03,30,41.723608205699,0.16552783588601994
Bronx,AM,05,15,43.020153875678204,0.13959692248643596
Manhattan,PM,11,45,22.926369428204325,0.5414726114359135
Bronx,AM,06,00,40.133902499076704,0.19732195001846586
Bronx,PM,01,00,29.693247788520882,0.40613504422958235
Brooklyn,PM,11,15,37.889471534138195,0.24221056931723606
Queens,AM,02,15,43.94307932034648,0.12113841359307043
Manhattan,PM,05,45,17.81974534710626,0.6436050930578748
Manhattan,PM,12,30,23.07650419239617,0.5384699161520766
Brooklyn,PM,12,00,33.422842614140414,0.33154314771719173
Manhattan,PM,06,30,19.304143031988026,0.6139171393602394
Queens,AM,03,00,44.669314252963865,0.10661371494072269
Brooklyn,PM,05,15,30.26661498996209,0.39466770020075825
Brooklyn,PM,06,00,30.844289445477923,0.3831142110904415
Bronx,AM,08,45,31.25324076153621,0.3749351847692758
Bronx,PM,03,45,25.71621869561116,0.4856756260877768
Bronx,PM,10,30,37.566936511743435,0.24866126976513125
Queens,AM,11,45,37.94774762708025,0.24104504745839506
Queens,AM,12,30,43.57584337470789,0.1284831325058423
Bronx,PM,04,30,25.41462808299065,0.49170743834018704
Queens,AM,05,45,46.29752775192691,0.07404944496146182
Bronx,AM,09,30,32.52576046084375,0.349484790783125
Queens,PM,01,30,36.8816806291674,0.2623663874166521
Queens,AM,06,30,41.45003825546842,0.17099923489063162
Brooklyn,PM,08,45,37.19400277331241,0.25611994453375175
Brooklyn,PM,09,30,37.75297096701026,0.24494058065979474
Staten Island,AM,12,15,41.172557067514816,0.1765488586497037
Staten Island,PM,01,15,37.26373009305047,0.25472539813899064
Queens,PM,08,15,39.444666406535354,0.21110667186929288
Staten Island,AM,06,15,40.056802982159326,0.19886394035681354
Queens,PM,09,00,40.917008565310546,0.18165982869378905
